"Submission Date","Nombre del Instructor:","Agencia de Procedencia:","Criterios de evaluación: >> El instructor cumplió con los objetivos del curso. >> Excelente (4)","Criterios de evaluación: >> El instructor cumplió con los objetivos del curso. >> Bueno (3)","Criterios de evaluación: >> El instructor cumplió con los objetivos del curso. >> Regular (2)","Criterios de evaluación: >> El instructor cumplió con los objetivos del curso. >> Deficiente (1)","Criterios de evaluación: >> El instructor posee dominio de la materia.  >> Excelente (4)","Criterios de evaluación: >> El instructor posee dominio de la materia.  >> Bueno (3)","Criterios de evaluación: >> El instructor posee dominio de la materia.  >> Regular (2)","Criterios de evaluación: >> El instructor posee dominio de la materia.  >> Deficiente (1)","Criterios de evaluación: >> El instructor utilizó materiales y estrategias de enseñanza ... >> Excelente (4)","Criterios de evaluación: >> El instructor utilizó materiales y estrategias de enseñanza ... >> Bueno (3)","Criterios de evaluación: >> El instructor utilizó materiales y estrategias de enseñanza ... >> Regular (2)","Criterios de evaluación: >> El instructor utilizó materiales y estrategias de enseñanza ... >> Deficiente (1)","Criterios de evaluación: >> La información fue presentada en forma clara y organizada.  >> Excelente (4)","Criterios de evaluación: >> La información fue presentada en forma clara y organizada.  >> Bueno (3)","Criterios de evaluación: >> La información fue presentada en forma clara y organizada.  >> Regular (2)","Criterios de evaluación: >> La información fue presentada en forma clara y organizada.  >> Deficiente (1)","Criterios de evaluación: >> El instructor demostró disposición y buena actitud para acla... >> Excelente (4)","Criterios de evaluación: >> El instructor demostró disposición y buena actitud para acla... >> Bueno (3)","Criterios de evaluación: >> El instructor demostró disposición y buena actitud para acla... >> Regular (2)","Criterios de evaluación: >> El instructor demostró disposición y buena actitud para acla... >> Deficiente (1)","Criterios de evaluación: >> La condición del salón y las facilidades o el espacio virtua... >> Excelente (4)","Criterios de evaluación: >> La condición del salón y las facilidades o el espacio virtua... >> Bueno (3)","Criterios de evaluación: >> La condición del salón y las facilidades o el espacio virtua... >> Regular (2)","Criterios de evaluación: >> La condición del salón y las facilidades o el espacio virtua... >> Deficiente (1)","¿Considera que lo aprendido en esta actividad le ayudará en el desempeño de sus funciones y responsabilidades diarias en forma efectiva?","Explique:","¿Tomaría otros cursos con este instructor?","¿Qué otros cursos y/o adiestramientos le gustaría tomar a través de la Alianza con la Universidad dePuerto Rico?"
"2020-05-08 10:17:25","JULIO COTTO","UPR - HUMACAO","Excelente (4)","","","","Excelente (4)","","","","Excelente (4)","","","","Excelente (4)","","","","Excelente (4)","","","","","","Regular (2)","","Sí","","Sí",""
"2020-05-08 10:17:17","Julio Cotto","Oficina del Contralor de Puerto Rico","Excelente (4)","","","","Excelente (4)","","","","Excelente (4)","","","","Excelente (4)","","","","Excelente (4)","","","","Excelente (4)","","","","Sí","","Sí",""
"2020-05-08 10:17:09","Julio Cotto","Negociado de Transporte y otros Servicios Públicos (NTSP/JRSP)","Excelente (4)","","","","Excelente (4)","","","","Excelente (4)","","","","Excelente (4)","","","","Excelente (4)","","","","","Bueno (3)","","","Sí","","Sí",""
"2020-05-08 10:16:57","Julio Cotto Delgado","Oficina del Inspector General","Excelente (4)","","","","Excelente (4)","","","","Excelente (4)","","","","Excelente (4)","","","","Excelente (4)","","","","Excelente (4)","","","","Sí","","Sí",""
"2020-05-08 10:16:51","Julio Cotto","Administracion de la Industria y el Deporte Hipico","Excelente (4)","","","","Excelente (4)","","","","Excelente (4)","","","","Excelente (4)","","","","Excelente (4)","","","","Excelente (4)","","","","Sí","Me ha inspirado en cuanto a organizar mis espacios y tiempo, profesional, emocional y privado. Me ha dado muchas ideas e instrumentos para implementar. Me encantó!","Sí","Tendría que ver el catálogo. No he tenido oportunidad."
"2020-05-08 10:16:47","Julio Cotto","Oficina Inspector General PR","Excelente (4)","","","","Excelente (4)","","","","Excelente (4)","","","","","Bueno (3)","","","","Bueno (3)","","","","Bueno (3)","","","Sí","","Sí",""
"2020-05-08 10:16:47","Julio Cotto","UPR Humacao ","Excelente (4)","","","","Excelente (4)","","","","Excelente (4)","","","","Excelente (4)","","","","Excelente (4)","","","","Excelente (4)","","","","Sí","Con el material brindado, las recomendaciones Metas S.M.A.R.T.  será de utilidad tanto en el trabajo como en nuestra vida diaria.","Sí","Todos. "
"2020-05-08 10:16:41","Prof. Edwin Cotto","Oficina del Inspector General de PR","Excelente (4)","","","","Excelente (4)","","","","Excelente (4)","","","","Excelente (4)","","","","Excelente (4)","","","","Excelente (4)","","","","Sí","","Muy buen instructor",""
"2020-05-08 10:16:30","Julio Cotto","OIG","Excelente (4)","","","","Excelente (4)","","","","Excelente (4)","","","","Excelente (4)","","","","Excelente (4)","","","","Excelente (4)","","","","Sí","","Sí","Fraude, Riesgos"
"2020-05-08 10:16:21","Julio Cotto","Departamento de Hacienda","Excelente (4)","","","","Excelente (4)","","","","Excelente (4)","","","","Excelente (4)","","","","Excelente (4)","","","","Excelente (4)","","","","Sí","Me ayudara a planificar mejor las actividades diarias utilizando el tiempo de manera que pueda hacer lo que realmente deseohacer","Sí",""
"2020-05-08 10:15:59","Julio Cotto","Universidad de Humacao","Excelente (4)","","","","Excelente (4)","","","","","","","Deficiente (1)","","","","Deficiente (1)","Excelente (4)","","","","","","Regular (2)","","Sí","","Sí",""
"2020-05-08 10:15:56","Julio Cotto","Oficina del Inspector General","Excelente (4)","","","","Excelente (4)","","","","Excelente (4)","","","","Excelente (4)","","","","Excelente (4)","","","","","Bueno (3)","","","Sí","En la situación que estamos viviendo es importante establecer un plan de trabajo lo más real posible, para cumplir con este y no sobrecargarnos entre la vida familiar y la oficina.","Sí",""
"2020-05-08 10:15:55","Julio Cotto","","Excelente (4)","","","","Excelente (4)","","","","Excelente (4)","","","","Excelente (4)","","","","Excelente (4)","","","","","Bueno (3)","","","Sí","","Sí",""
"2020-05-08 10:15:45","Julio Cotto","Oficina del Inspector General del Gobierno de Puerto Rico","Excelente (4)","","","","Excelente (4)","","","","Excelente (4)","","","","Excelente (4)","","","","Excelente (4)","","","","Excelente (4)","","","","Sí","","Sí",""
"2020-05-08 10:15:28","Julio Cotto","Oficina del Inspector General","Excelente (4)","","","","Excelente (4)","","","","","Bueno (3)","","","Excelente (4)","","","","Excelente (4)","","","","","Bueno (3)","","","Sí","","Sí",""
"2020-05-08 10:15:18","Julio Cotto","Recinto Humacao","Excelente (4)","","","","Excelente (4)","","","","Excelente (4)","","","","Excelente (4)","","","","Excelente (4)","","","","Excelente (4)","","","","Sí","Saludos!  A pesar de que pude ver la video conferencia, no pude escuchar por algún problema con el audio.  Al principio me tomó un poco de tiempo para conectarme por lo que no pude ver la video conferencia completa.","Sí","Cualquier curso que aumente la productividad y el conocimiento para ejercer mejor las funciones como empleado público."
"2020-05-08 10:15:16","Julio Cotto","AVP","Excelente (4)","","","","Excelente (4)","","","","Excelente (4)","","","","Excelente (4)","","","","Excelente (4)","","","","Excelente (4)","","","","Sí","","Sí",""
"2020-05-08 10:14:49","Julio Cotto","Oficina del Inspector General","Excelente (4)","","","","Excelente (4)","","","","","Bueno (3)","","","","Bueno (3)","","","Excelente (4)","","","","","Bueno (3)","","","Sí","","Sí",""
"2020-05-08 10:14:35","Julio Cotto","Administracion de vivienda publica","Excelente (4)","","","","Excelente (4)","","","","Excelente (4)","","","","Excelente (4)","","","","Excelente (4)","","","","","Bueno (3)","","","Sí","","Sí",""
"2020-05-08 10:14:31","Julio Cotto","Oficina de Inspector General","","Bueno (3)","","","","Bueno (3)","","","","Bueno (3)","","","","","Regular (2)","","Excelente (4)","","","","","","Regular (2)","","Sí","","Sí",""
"2020-05-08 10:13:31","Julio Cotto","Administración de Vivienda Pública","","Bueno (3)","","","Excelente (4)","","","","Excelente (4)","","","","","Bueno (3)","","","Excelente (4)","","","","","Bueno (3)","","","","Conceptos nuevos y aplicación de ellos en esta nueva realidad","Dominio del tema ","Trabajo remoto en el entorno gubernamental "
"2020-05-08 10:12:52","Julio  Cotto","Autoridad para el Financiamiento de la Infraestructura ","Excelente (4)","","","","Excelente (4)","","","","Excelente (4)","","","","","Bueno (3)","","","Excelente (4)","","","","Excelente (4)","","","","Sí","","Sí",""
"2020-05-08 10:12:49","Julio Cottp","Oficina del Inspector General","Excelente (4)","","","","Excelente (4)","","","","Excelente (4)","","","","Excelente (4)","","","","Excelente (4)","","","","Excelente (4)","","","","Sí","","Sí",""
"2020-05-08 10:12:45","Julio Cotto","Oficina del Inspector General","Excelente (4)","","","","Excelente (4)","","","","Excelente (4)","","","","Excelente (4)","","","","Excelente (4)","","","","","Bueno (3)","","","Sí","","Sí",""
"2020-05-08 10:12:44","Julio Cotto","Universidad Humacao","Excelente (4)","","","","Excelente (4)","","","","Excelente (4)","","","","Excelente (4)","","","","Excelente (4)","","","","Excelente (4)","","","","Sí","Es bueno repasar estas herramientas ","Sí",""
"2020-05-08 10:12:41","Julio Cotto","OPP","Excelente (4)","","","","Excelente (4)","","","","Excelente (4)","","","","Excelente (4)","","","","Excelente (4)","","","","Excelente (4)","","","","Sí","","Sí",""
"2020-05-08 10:12:19","Prof. Julio Cotto Delgado","OIG","Excelente (4)","","","","Excelente (4)","","","","Excelente (4)","","","","Excelente (4)","","","","Excelente (4)","","","","Excelente (4)","","","","Sí","Que se repita","Sí",""
"2020-05-08 10:11:32","Julio Cotto Delgado","OIG","Excelente (4)","","","","Excelente (4)","","","","Excelente (4)","","","","Excelente (4)","","","","Excelente (4)","","","","Excelente (4)","","","","Sí","","Sí",""
"2020-05-08 10:10:41","Julio Cotto","Administración de la Industria y el Deporte Hípico","Excelente (4)","","","","Excelente (4)","","","","Excelente (4)","","","","Excelente (4)","","","","Excelente (4)","","","","Excelente (4)","","","","Sí","Presentó muchas herramientas para el manejo del tiempo y para planificar tareas.","Sí",""
"2020-05-08 10:10:26","Juan Cotto Delgado","OIG","Excelente (4)","","","","Excelente (4)","","","","Excelente (4)","","","","Excelente (4)","","","","Excelente (4)","","","","Excelente (4)","","","","Sí","","Sí","Todo los cursos que esten disponibles."
"2020-05-08 10:09:59","Julio Cotto","Oficina del Inspector General ","Excelente (4)","","","","Excelente (4)","","","","Excelente (4)","","","","Excelente (4)","","","","Excelente (4)","","","","Excelente (4)","","","","Sí","Me ayuda a visualizar mejor mi día e identificar las prioridades.","Conocedor del tema buen comunicador ",""
"2020-05-08 10:09:56","Julio Cotto","Departamento de la vivienda","Excelente (4)","","","","Excelente (4)","","","","Excelente (4)","","","","Excelente (4)","","","","Excelente (4)","","","","Excelente (4)","","","","Sí","Puedo canalizar y no excederme de los trabajos que voy a realizar en mis funciones del trabajo remoto.","Sí",""
"2020-05-08 10:09:34","Julio Cotto","Oficina del Inspector General","Excelente (4)","","","","Excelente (4)","","","","Excelente (4)","","","","Excelente (4)","","","","Excelente (4)","","","","Excelente (4)","","","","Sí","","Sí","Word, Excel, Supervisión Efectiva, Gerencia de Proyectos"
"2020-05-08 10:09:19","Julio Cotto","Departamento de Correccion y Rehabilitación","Excelente (4)","","","","Excelente (4)","","","","Excelente (4)","","","","Excelente (4)","","","","Excelente (4)","","","","Excelente (4)","","","","Sí","","Sí",""
"2020-05-08 10:09:08","Julio Cotto","Oficina del Inspector General","Excelente (4)","","","","Excelente (4)","","","","Excelente (4)","","","","Excelente (4)","","","","Excelente (4)","","","","Excelente (4)","","","","Sí","","Sí",""
"2020-05-08 10:08:26","Julio Cotto","Oficina del Inspector General","Excelente (4)","","","","Excelente (4)","","","","Excelente (4)","","","","Excelente (4)","","","","Excelente (4)","","","","Excelente (4)","","","","Sí","","Sí",""
"2020-05-08 10:08:01","Julio Cotto ","Administración de la Industria y el Deporte Hípico","Excelente (4)","","","","Excelente (4)","","","","Excelente (4)","","","","Excelente (4)","","","","Excelente (4)","","","","Excelente (4)","","","","Sí","","Sí",""
"2020-05-08 10:07:42","Julio cotto","Administracion de Vivienda Publica","Excelente (4)","","","","Excelente (4)","","","","Excelente (4)","","","","Excelente (4)","","","","Excelente (4)","","","","Excelente (4)","","","","Sí","","Sí",""
"2020-05-08 10:07:29","Julio Cotto","Oficina del Inspector General","Excelente (4)","","","","Excelente (4)","","","","Excelente (4)","","","","Excelente (4)","","","","Excelente (4)","","","","Excelente (4)","","","","Sí","","Sí",""
